,state_full,count_chicken,mean_chicken,std_chicken,skew_chicken,count_ribs,mean_ribs,std_ribs,skew_ribs,count_pork,mean_pork,std_pork,skew_pork,count_brisket,mean_brisket,std_brisket,skew_brisket,count_overall,mean_overall,std_overall,skew_overall
ne,Nebraska,1049,162.98798284079982,8.810795537147326,-0.8626791143629036,1051,161.1697529971446,9.656541679478384,-0.7524802946201766,1051,162.24698116079819,8.80705709756438,-0.6425704108726107,1046,160.4632803059267,10.34191753634078,-0.5865307858514295,1052,645.3453950570342,33.107075473587685,-2.2375547995422926
nh,New Hampshire,172,161.60182790697675,9.660864624226846,-1.1583829404356494,173,159.81954450867048,9.455543546644167,-0.9812326574315964,173,160.60879768786137,9.178683812368554,-0.48042878283383705,172,157.43536744186054,10.441587547054011,-0.7200546179640992,173,637.6213919075146,32.717452828772565,-1.9681290639209066
nj,New Jersey,752,157.85896542553166,9.653608729158606,-0.7846588876287393,754,154.99545358090185,10.444039958531315,-0.4396807081042184,753,156.30125471447528,9.758376075758632,-0.4670413069968289,751,152.19501091877484,12.961769180800927,-0.5725031650618427,754,620.328996286472,35.13784203797329,-1.2667093954947641
nm,New Mexico,259,160.3719598455599,9.80204588014772,-0.7968313123807185,264,161.51321818181822,10.749447798595295,-1.0272265216785197,262,160.00207938931277,10.58890160565342,-0.481895832567208,263,157.41556045627382,10.560139426775297,-0.12776694995224078,265,632.289299622641,57.50716719877281,-4.271837866555313
nv,Nevada,1018,165.5994554027498,8.364265022296966,-1.038262906517731,1129,163.5779011514605,8.609845927914103,-1.1900364563921022,1131,164.56880176834548,8.317777229418141,-0.9084163796996366,1128,162.43888723404137,10.238910141511235,-0.9782283624610543,1024,653.8569378906253,35.784717771342464,-4.690063575042077
ny,New York,1284,158.80851152647884,9.546468620193755,-0.5933064652029882,1293,156.18247053364155,10.639485889147172,-0.7354413582111897,1287,156.64598166278049,10.309781601597287,-0.6615904561131687,1287,154.38055322455244,11.596264700580477,-0.570226300379796,1295,622.8016963706557,45.616053837298075,-4.941087435055894
oh,Ohio,601,165.77979500831898,8.21203961559135,-0.7259846332195307,600,163.89438199999995,8.88981746164932,-0.8456478101274713,603,165.30296650082906,8.156572780060104,-1.3231027007179037,601,163.37075207986683,9.774533529389851,-0.7462668785254318,604,655.5672132450329,41.13842305805413,-7.3119730177167686
ok,Oklahoma,2384,165.16074714765176,9.909037383678895,-1.1254501293772574,2406,162.95697206982558,10.291966802789583,-1.0315888647024996,2397,164.4118815185651,9.318659634003374,-1.0576080221179622,2399,161.07937990829558,11.590932592652736,-0.9738311440584972,2424,646.3700694719467,58.299911572301966,-4.136886617553008
or,Oregon,173,163.74623815028906,8.424430153093446,-0.8376709420055354,171,162.84071578947365,9.315895934074934,-0.8166342976141276,173,162.66281156069368,9.651126427032404,-0.622890920212311,173,160.42708901734096,11.077723910400236,-0.7936139149568152,173,648.0255167630056,34.20295476498131,-1.8792715966258549
pa,Pennsylvania,1306,160.3482915773341,9.025415335912369,-0.6269249899134244,1309,157.8002988540858,9.872614124537868,-0.7291923440366661,1306,158.74359081163715,9.060559643136985,-0.5448624347406033,1303,156.48284236377464,11.11291136146826,-0.578161467617956,1311,631.1431853546907,36.9546575116869,-3.562818371092821
